Occupancy,DmgFnId,Source,Description,ft04m,ft03m,ft02m,ft01m,ft00,ft01,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24,Comment,ft00_5,ft01_5,ft02_5,ft03_5,ft04_5,ft05_5,ft06_5,ft07_5,ft08_5,ft09_5,ft10_5,ft11_5,ft12_5,ft13_5,Source_Table,Occupy_Class,Cover_Class
RES1,183,USACE - Wilmington,"two story, Pile foundation, structure",3,3,3,4,7,9,15,23,25,29,31,32,34,35,37,40,44,48,51,55,57,60,62,65,68,78,89,100,100,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,184,USACE - Wilmington,"two story, Structure",0,0,1,1,7,9,15,18,22,25,27,29,32,34,36,40,43,47,50,54,57,60,62,65,68,71,74,77,77,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,105,FIA,"one floor, no basement, Structure, A-Zone",0,0,0,0,18,22,25,28,30,31,40,43,43,45,46,47,47,49,50,50,50,51,51,52,52,53,53,54,54,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,106,FIA (MOD.),"one floor, w/ basement, Structure, A-Zone",7,7,7,11,17,21,29,34,38,43,50,50,54,55,55,57,58,60,62,63,65,67,69,70,72,74,76,77,79,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,115,FIA,"two floors, no basement, Structure, V-Zone",0,0,0,0,5,9,13,18,20,22,24,26,30,34,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,185,USACE - Wilmington,"two story w/ 1/2 living area below, Structure",0,0,0,0,0,2,4,5,7,8,10,10,13,16,21,26,32,36,38,41,43,45,48,51,55,70,85,100,100,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,113,FIA,"one floor, no basement, Structure, V-Zone",0,0,0,0,8,10,14,26,28,29,41,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,114,FIA (MOD.),"one floor, w/ basement, Structure, V-Zone",7,7,10,14,17,21,29,34,38,43,47,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,119,FIA,"split level, no basement, Structure, V-Zone",0,0,0,0,3,9,13,25,27,28,32,37,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,116,FIA (MOD.),"two floors, w/ basement, Structure, V-Zone",4,4,8,14,17,24,26,29,34,39,44,50,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,117,FIA,"three or more floors, no basement, Structure, V-Zone",0,0,0,0,4,8,12,17,19,22,24,25,30,35,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,118,FIA (MOD.),"three or more floors, w/ basement, Structure, V-Zone",3,3,6,10,11,14,20,25,31,36,38,41,44,47,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,21,FIA,"one floor, no basement, Contents, A-Zone",0,0,0,0,12,25,35,36,38,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,flBldgContDmgFn,RES,Cont
RES1,111,FIA,"split level, no basement, Structure, A-Zone",0,0,0,0,3,9,13,25,27,28,33,34,41,43,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,112,FIA (MOD.),"split level, w/ basement, Structure, A-Zone",6,6,9,14,15,24,27,30,35,40,43,44,52,56,58,60,62,64,66,68,70,72,74,76,78,81,83,85,87,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,24,FIA (MOD.),"two floors, w/ basement, Contents, A-Zone",0,5,7,8,16,18,25,29,33,37,42,46,52,55,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,flBldgContDmgFn,RES,Cont
RES1,25,FIA (MOD.),"three or more floors, no basement, Contents, A-Zone",0,0,0,0,7,15,21,22,23,25,27,30,35,40,43,45,48,50,52,54,56,58,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,flBldgContDmgFn,RES,Cont
RES1,26,FIA (MOD.),"three or more floors, w/ basement, Contents, A-Zone",0,5,7,8,15,22,27,28,29,30,32,35,39,43,46,47,50,52,53,55,57,58,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,flBldgContDmgFn,RES,Cont
RES1,27,FIA,"split level, no basement, Contents, A-Zone",0,0,0,0,8,11,19,23,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,flBldgContDmgFn,RES,Cont
RES1,28,FIA (MOD.),"split level, w/ basement, Contents, A-Zone",0,5,7,8,16,18,25,29,33,37,42,46,52,55,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,flBldgContDmgFn,RES,Cont
RES1,29,FIA,"one floor, no basement, Contents, V-Zone",0,0,0,0,10,17,23,29,35,40,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,flBldgContDmgFn,RES,Cont
RES1,30,FIA,"one floor, w/ basement, Contents, V-Zone",0,5,7,8,15,20,22,28,33,39,44,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,flBldgContDmgFn,RES,Cont
RES1,31,FIA,"two floors, no basement, Contents, V-Zone",0,0,0,0,7,9,17,22,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,flBldgContDmgFn,RES,Cont
RES1,107,FIA,"two floors, no basement, Structure, A-Zone",0,0,0,0,11,12,14,18,20,22,24,26,30,34,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,108,FIA (MOD.),"two floors, w/ basement, Structure, A-Zone",4,4,8,14,19,21,26,29,34,39,44,50,55,57,59,61,63,65,66,68,69,71,72,74,75,77,79,80,82,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,109,FIA,"three or more floors, no basement, Structure, A-Zone",0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56,,,,,,,,,,,,,,,,flBldgStructDmgFn,RES,Bldg
RES1,22,FIA,"one floor, w/ basement, Contents, A-Zone",0,5,7,8,16,20,22,28,33,39,44,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,flBldgContDmgFn,RES,Cont
RES1,23,FIA,"two floors, no basement, Contents, A-Zone",0,0,0,0,8,11,19,23,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,flBldgContDmgFn,RES,Cont
RES1,45,USACE - IWR,"one story, no basement, Contents",0,0,0,4,16,26,36,44,52,58,64,68,72,74,76,78,80,80,80,80,80,80,80,80,80,80,80,80,80,,,,,,,,,,,,,,,,flBldgContDmgFn,RES,Cont
RES1,46,USACE - IWR,"two or more stories, no basement, Contents",0,0,0,2,10,18,24,32,38,42,48,52,56,60,64,66,70,72,72,74,74,76,76,78,78,80,80,82,82,,,,,,,,,,,,,,,,flBldgContDmgFn,RES,Cont
RES1,47,USACE - IWR,"split level, no basement, Contents",0,0,0,4,6,10,16,22,30,40,50,62,72,82,92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,flBldgContDmgFn,RES,Cont
RES1,48,USACE - Chicago,"one story, no basement, Contents",0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,flBldgContDmgFn,RES,Cont
RES1,49,USACE - Chicago,"one story, w/ basement, Contents",0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,flBldgContDmgFn,RES,Cont
